time	sDepthWN0	sDFiAdN0	sDepthWN1	sDFiAdN1	sDepthWN2	sDFiAdN2	sDepthWN3	sDFiAdN3	sDepthWN4	sMixDepthWN4	sDFiAdN4	sDepthWN5	sDFiAdN5	sDepthWN6	sDFiAdN6	sDepthWN7	sDFiAdN7	sDepthWN8	sDFiAdN8	sDepthWN9	sDFiAdN9	sDepthWN10	sDFiAdN10	sDepthWN11	sDFiAdN11	sDepthWN110	sDFiAdN110
18142	3	2.266406889	1.2	3.264608161	1.5	3.836040535	1.5	3.387352674	1.5	0	3.31445432	3	2.266406889	3	2.266406889	3	2.266406889	3	2.266406889	3	2.266406889	3	2.266406889	3	2.266406889	3	2.266406889
18143	3	2.27988571	1.2	3.277323953	1.5	3.851964007	1.5	3.400872151	1.5	0	3.327049557	3	2.27988571	3	2.27988571	3	2.27988571	3	2.27988571	3	2.27988571	3	2.27988571	3	2.27988571	3	2.27988571
18144	3	2.294039594	1.2	3.290252571	1.5	3.868005584	1.5	3.414589678	1.5	0	3.339854047	3	2.294039594	3	2.294039594	3	2.294039594	3	2.294039594	3	2.294039594	3	2.294039594	3	2.294039594	3	2.294039594
18145	3	2.308852429	1.2	3.303383485	1.5	3.884156833	1.5	3.428495439	1.5	0	3.352858296	3	2.308852429	3	2.308852429	3	2.308852429	3	2.308852429	3	2.308852429	3	2.308852429	3	2.308852429	3	2.308852429
18146	3	2.324307594	1.2	3.316706393	1.5	3.900409681	1.5	3.442579841	1.5	0	3.366053001	3	2.324307594	3	2.324307594	3	2.324307594	3	2.324307594	3	2.324307594	3	2.324307594	3	2.324307594	3	2.324307594
18147	3	2.34038797	1.2	3.330211225	1.5	3.91675641	1.5	3.456833515	1.5	0	3.379429052	3	2.34038797	3	2.34038797	3	2.34038797	3	2.34038797	3	2.34038797	3	2.34038797	3	2.34038797	3	2.34038797
18148	3	2.357075963	1.2	3.343888148	1.5	3.933189649	1.5	3.471247323	1.5	0	3.392977534	3	2.357075963	3	2.357075963	3	2.357075963	3	2.357075963	3	2.357075963	3	2.357075963	3	2.357075963	3	2.357075963
18149	3	2.374353524	1.2	3.357727563	1.5	3.949702367	1.5	3.485812351	1.5	0	3.406689732	3	2.374353524	3	2.374353524	3	2.374353524	3	2.374353524	3	2.374353524	3	2.374353524	3	2.374353524	3	2.374353524
18150	3	2.392202168	1.2	3.371720112	1.5	3.966287868	1.5	3.500519917	1.5	0	3.420557124	3	2.392202168	3	2.392202168	3	2.392202168	3	2.392202168	3	2.392202168	3	2.392202168	3	2.392202168	3	2.392202168
18151	3	2.412948203	1.2	3.385856678	1.5	3.982939775	1.5	3.515361566	1.5	0	3.43457139	3	2.412948203	3	2.412948203	3	2.412948203	3	2.412948203	3	2.412948203	3	2.412948203	3	2.412948203	3	2.412948203
18152	3	2.461917616	1.2	3.400128378	1.5	3.999652021	1.5	3.530329069	1.5	0	3.448724403	3	2.461917616	3	2.461917616	3	2.461917616	3	2.461917616	3	2.461917616	3	2.461917616	3	2.461917616	3	2.461917616
18153	3	2.489250543	1.2	3.41452657	1.5	4.016418846	1.5	3.545414423	1.5	0	3.46300823	3	2.489250543	3	2.489250543	3	2.489250543	3	2.489250543	3	2.489250543	3	2.489250543	3	2.489250543	3	2.489250543
18154	3	2.525366255	1.2	3.42904286	1.5	4.033234885	1.5	3.560609843	1.5	0	3.477415133	3	2.525366255	3	2.525366255	3	2.525366255	3	2.525366255	3	2.525366255	3	2.525366255	3	2.525366255	3	2.525366255
18155	3	2.569097785	1.2	3.443669105	1.5	4.050095185	1.5	3.575907762	1.5	0	3.491937556	3	2.569097785	3	2.569097785	3	2.569097785	3	2.569097785	3	2.569097785	3	2.569097785	3	2.569097785	3	2.569097785
18156	3	2.619248033	1.2	3.4583974	1.5	4.066995125	1.5	3.591300823	1.5	0	3.50656813	3	2.619248033	3	2.619248033	3	2.619248033	3	2.619248033	3	2.619248033	3	2.619248033	3	2.619248033	3	2.619248033
18157	3	2.674718084	1.2	3.473220064	1.5	4.083930344	1.5	3.606781874	1.5	0	3.52129966	3	2.674718084	3	2.674718084	3	2.674718084	3	2.674718084	3	2.674718084	3	2.674718084	3	2.674718084	3	2.674718084
18158	3	2.73455648	1.2	3.488129627	1.5	4.100896686	1.5	3.622343961	1.5	0	3.536125125	3	2.73455648	3	2.73455648	3	2.73455648	3	2.73455648	3	2.73455648	3	2.73455648	3	2.73455648	3	2.73455648
18159	3	2.797962177	1.2	3.503118822	1.5	4.117890149	1.5	3.637980318	1.5	0	3.551037666	3	2.797962177	3	2.797962177	3	2.797962177	3	2.797962177	3	2.797962177	3	2.797962177	3	2.797962177	3	2.797962177
18160	3	2.864266822	1.2	3.51818057	1.5	4.134906854	1.5	3.653684355	1.5	0	3.566030579	3	2.864266822	3	2.864266822	3	2.864266822	3	2.864266822	3	2.864266822	3	2.864266822	3	2.864266822	3	2.864266822
18161	3	2.932910025	1.2	3.533307974	1.5	4.151943025	1.5	3.669449654	1.5	0	3.58109731	3	2.932910025	3	2.932910025	3	2.932910025	3	2.932910025	3	2.932910025	3	2.932910025	3	2.932910025	3	2.932910025
18162	3	3.003415248	1.2	3.548494305	1.5	4.168994981	1.5	3.685269952	1.5	0	3.59623144	3	3.003415248	3	3.003415248	3	3.003415248	3	3.003415248	3	3.003415248	3	3.003415248	3	3.003415248	3	3.003415248
18163	3	3.075369137	1.2	3.563732999	1.5	4.186059112	1.5	3.701139133	1.5	0	3.611426682	3	3.075369137	3	3.075369137	3	3.075369137	3	3.075369137	3	3.075369137	3	3.075369137	3	3.075369137	3	3.075369137
18164	3	3.148404795	1.2	3.579017637	1.5	4.203131867	1.5	3.717051215	1.5	0	3.626676864	3	3.148404795	3	3.148404795	3	3.148404795	3	3.148404795	3	3.148404795	3	3.148404795	3	3.148404795	3	3.148404795
18165	3	3.22218932	1.2	3.594341942	1.5	4.220209737	1.5	3.733000339	1.5	0	3.641975926	3	3.22218932	3	3.22218932	3	3.22218932	3	3.22218932	3	3.22218932	3	3.22218932	3	3.22218932	3	3.22218932
18166	3	3.29641602	1.2	3.609699763	1.5	4.237289233	1.5	3.748980754	1.5	0	3.657317903	3	3.29641602	3	3.29641602	3	3.29641602	3	3.29641602	3	3.29641602	3	3.29641602	3	3.29641602	3	3.29641602
18167	3	3.370800109	1.2	3.625085066	1.5	4.254366877	1.5	3.764986807	1.5	0	3.672696918	3	3.370800109	3	3.370800109	3	3.370800109	3	3.370800109	3	3.370800109	3	3.370800109	3	3.370800109	3	3.370800109
18168	3	3.444944399	1.2	3.640491925	1.5	4.271439189	1.5	3.781012929	1.5	0	3.688107171	3	3.444944399	3	3.444944399	3	3.444944399	3	3.444944399	3	3.444944399	3	3.444944399	3	3.444944399	3	3.444944399
18169	3	3.518631105	1.2	3.655914513	1.5	4.288502675	1.5	3.797053624	1.5	0	3.703542924	3	3.518631105	3	3.518631105	3	3.518631105	3	3.518631105	3	3.518631105	3	3.518631105	3	3.518631105	3	3.518631105
18170	3	3.591745464	1.2	3.671347084	1.5	4.305553799	1.5	3.813103456	1.5	0	3.718998498	3	3.591745464	3	3.591745464	3	3.591745464	3	3.591745464	3	3.591745464	3	3.591745464	3	3.591745464	3	3.591745464
18171	3	3.664174092	1.2	3.686783971	1.5	4.322588966	1.5	3.829157037	1.5	0	3.734468256	3	3.664174092	3	3.664174092	3	3.664174092	3	3.664174092	3	3.664174092	3	3.664174092	3	3.664174092	3	3.664174092
18172	3	3.735805719	1.2	3.702219565	1.5	4.339604505	1.5	3.845209017	1.5	0	3.749946597	3	3.735805719	3	3.735805719	3	3.735805719	3	3.735805719	3	3.735805719	3	3.735805719	3	3.735805719	3	3.735805719
18173	3	3.806531915	1.2	3.717648314	1.5	4.356596662	1.5	3.86125407	1.5	0	3.765427945	3	3.806531915	3	3.806531915	3	3.806531915	3	3.806531915	3	3.806531915	3	3.806531915	3	3.806531915	3	3.806531915
18174	3	3.876247791	1.2	3.733064709	1.5	4.373561597	1.5	3.877286888	1.5	0	3.78090674	3	3.876247791	3	3.876247791	3	3.876247791	3	3.876247791	3	3.876247791	3	3.876247791	3	3.876247791	3	3.876247791
18175	3	3.944852687	1.2	3.748463276	1.5	4.390495373	1.5	3.893302168	1.5	0	3.796377432	3	3.944852687	3	3.944852687	3	3.944852687	3	3.944852687	3	3.944852687	3	3.944852687	3	3.944852687	3	3.944852687
18176	3	4.012250857	1.2	3.763838567	1.5	4.407393943	1.5	3.909294607	1.5	0	3.811834471	3	4.012250857	3	4.012250857	3	4.012250857	3	4.012250857	3	4.012250857	3	4.012250857	3	4.012250857	3	4.012250857
18177	3	4.078352177	1.2	3.77918515	1.5	4.425244046	1.5	3.932605384	1.5	0	3.837908316	3	4.078352177	3	4.078352177	3	4.078352177	3	4.078352177	3	4.078352177	3	4.078352177	3	4.078352177	3	4.078352177
18178	3	4.143072658	1.2	3.794497592	1.5	4.474265422	1.5	3.975432928	1.5	0	3.871495627	3	4.143072658	3	4.143072658	3	4.143072658	3	4.143072658	3	4.143072658	3	4.143072658	3	4.143072658	3	4.143072658
18179	3	4.206334869	1.2	3.809770455	1.5	4.498429891	1.5	3.998493616	1.5	0	3.894789553	3	4.206334869	3	4.206334869	3	4.206334869	3	4.206334869	3	4.206334869	3	4.206334869	3	4.206334869	3	4.206334869
18180	3	4.268068385	1.2	3.824998294	1.5	4.530574844	1.5	4.027504413	1.5	0	3.923376541	3	4.268068385	3	4.268068385	3	4.268068385	3	4.268068385	3	4.268068385	3	4.268068385	3	4.268068385	3	4.268068385
18181	3	4.328210169	1.2	3.840175657	1.5	4.569291452	1.5	4.061545641	1.5	0	3.956512924	3	4.328210169	3	4.328210169	3	4.328210169	3	4.328210169	3	4.328210169	3	4.328210169	3	4.328210169	3	4.328210169
18182	3	4.38670488	1.2	3.855297078	1.5	4.613223066	1.5	4.099688219	1.5	0	3.993418011	3	4.38670488	3	4.38670488	3	4.38670488	3	4.38670488	3	4.38670488	3	4.38670488	3	4.38670488	3	4.38670488
18183	3	4.443505098	1.2	3.870357084	1.5	4.661150604	1.5	4.141058716	1.5	0	4.033335349	3	4.443505098	3	4.443505098	3	4.443505098	3	4.443505098	3	4.443505098	3	4.443505098	3	4.443505098	3	4.443505098
18184	3	4.498571474	1.2	3.896022561	1.5	4.712022635	1.5	4.184872943	1.5	0	4.075568607	3	4.498571474	3	4.498571474	3	4.498571474	3	4.498571474	3	4.498571474	3	4.498571474	3	4.498571474	3	4.498571474
